report_month,plant_name,item_name,month_actual
2025-04,BSP,Oven Pushing(nos/d),709.0
2025-05,BSP,Oven Pushing(nos/d),747.0
2025-06,BSP,Oven Pushing(nos/d),763.0
2025-07,BSP,Oven Pushing(nos/d),702.0
2025-08,BSP,Oven Pushing(nos/d),731.0
2025-09,BSP,Oven Pushing(nos/d),742.0
2025-10,BSP,Oven Pushing(nos/d),753.0
2025-11,BSP,Oven Pushing(nos/d),762.0
2025-12,BSP,Oven Pushing(nos/d),773.0
2026-01,BSP,Oven Pushing(nos/d),775.0
2026-02,BSP,Oven Pushing(nos/d),798.0
2026-03,BSP,Oven Pushing(nos/d),804.0
2024-04,BSP,Oven Pushing(nos/d),829.0
2024-05,BSP,Oven Pushing(nos/d),812.0
2024-06,BSP,Oven Pushing(nos/d),723.0
2024-07,BSP,Oven Pushing(nos/d),705.0
2024-08,BSP,Oven Pushing(nos/d),748.0
2024-09,BSP,Oven Pushing(nos/d),715.0
2024-10,BSP,Oven Pushing(nos/d),708.0
2024-11,BSP,Oven Pushing(nos/d),750.0
2024-12,BSP,Oven Pushing(nos/d),814.0
2025-01,BSP,Oven Pushing(nos/d),747.0
2025-02,BSP,Oven Pushing(nos/d),718.0
2025-03,BSP,Oven Pushing(nos/d),752.0
2023-04,BSP,Oven Pushing(nos/d),801.0
2023-05,BSP,Oven Pushing(nos/d),806.0
2023-06,BSP,Oven Pushing(nos/d),794.0
2023-07,BSP,Oven Pushing(nos/d),793.0
2023-08,BSP,Oven Pushing(nos/d),813.0
2023-09,BSP,Oven Pushing(nos/d),803.0
2023-10,BSP,Oven Pushing(nos/d),807.0
2023-11,BSP,Oven Pushing(nos/d),632.0
2023-12,BSP,Oven Pushing(nos/d),717.0
2024-01,BSP,Oven Pushing(nos/d),810.0
2024-02,BSP,Oven Pushing(nos/d),813.0
2024-03,BSP,Oven Pushing(nos/d),816.0
2022-04,BSP,Oven Pushing(nos/d),737.0
2022-05,BSP,Oven Pushing(nos/d),682.0
2022-06,BSP,Oven Pushing(nos/d),645.0
2022-07,BSP,Oven Pushing(nos/d),614.0
2022-08,BSP,Oven Pushing(nos/d),619.0
2022-09,BSP,Oven Pushing(nos/d),630.0
2022-10,BSP,Oven Pushing(nos/d),690.0
2022-11,BSP,Oven Pushing(nos/d),776.0
2022-12,BSP,Oven Pushing(nos/d),700.0
2023-01,BSP,Oven Pushing(nos/d),806.0
2023-02,BSP,Oven Pushing(nos/d),814.0
2023-03,BSP,Oven Pushing(nos/d),806.0
2021-04,BSP,Oven Pushing(nos/d),708.0
2021-05,BSP,Oven Pushing(nos/d),654.0
2021-06,BSP,Oven Pushing(nos/d),722.0
2021-07,BSP,Oven Pushing(nos/d),713.0
2021-08,BSP,Oven Pushing(nos/d),749.0
2021-09,BSP,Oven Pushing(nos/d),705.0
2021-10,BSP,Oven Pushing(nos/d),702.0
2021-11,BSP,Oven Pushing(nos/d),694.0
2021-12,BSP,Oven Pushing(nos/d),706.0
2022-01,BSP,Oven Pushing(nos/d),713.0
2022-02,BSP,Oven Pushing(nos/d),741.0
2022-03,BSP,Oven Pushing(nos/d),750.0
2020-04,BSP,Oven Pushing(nos/d),448.0
2020-05,BSP,Oven Pushing(nos/d),448.0
2020-06,BSP,Oven Pushing(nos/d),448.0
2020-07,BSP,Oven Pushing(nos/d),513.0
2020-08,BSP,Oven Pushing(nos/d),568.0
2020-09,BSP,Oven Pushing(nos/d),628.0
2020-10,BSP,Oven Pushing(nos/d),686.0
2020-11,BSP,Oven Pushing(nos/d),713.0
2020-12,BSP,Oven Pushing(nos/d),740.0
2021-01,BSP,Oven Pushing(nos/d),772.0
2021-02,BSP,Oven Pushing(nos/d),779.0
2021-03,BSP,Oven Pushing(nos/d),785.0
2019-04,BSP,Oven Pushing(nos/d),702.0
2019-05,BSP,Oven Pushing(nos/d),681.0
2019-06,BSP,Oven Pushing(nos/d),653.0
2019-07,BSP,Oven Pushing(nos/d),658.0
2019-08,BSP,Oven Pushing(nos/d),655.0
2019-09,BSP,Oven Pushing(nos/d),626.0
2019-10,BSP,Oven Pushing(nos/d),613.0
2019-11,BSP,Oven Pushing(nos/d),609.0
2019-12,BSP,Oven Pushing(nos/d),606.0
2020-01,BSP,Oven Pushing(nos/d),612.0
2020-02,BSP,Oven Pushing(nos/d),652.0
2020-03,BSP,Oven Pushing(nos/d),655.0
2018-04,BSP,Oven Pushing(nos/d),672.0
2018-05,BSP,Oven Pushing(nos/d),659.0
2018-06,BSP,Oven Pushing(nos/d),656.0
2018-07,BSP,Oven Pushing(nos/d),517.0
2018-08,BSP,Oven Pushing(nos/d),647.0
2018-09,BSP,Oven Pushing(nos/d),662.0
2018-10,BSP,Oven Pushing(nos/d),716.0
2018-11,BSP,Oven Pushing(nos/d),721.0
2018-12,BSP,Oven Pushing(nos/d),720.0
2019-01,BSP,Oven Pushing(nos/d),698.0
2019-02,BSP,Oven Pushing(nos/d),695.0
2019-03,BSP,Oven Pushing(nos/d),705.0
2017-04,BSP,Oven Pushing(nos/d),663.0
2017-05,BSP,Oven Pushing(nos/d),537.0
2017-06,BSP,Oven Pushing(nos/d),525.0
2017-07,BSP,Oven Pushing(nos/d),593.0
2017-08,BSP,Oven Pushing(nos/d),620.0
2017-09,BSP,Oven Pushing(nos/d),616.0
2017-10,BSP,Oven Pushing(nos/d),607.0
2017-11,BSP,Oven Pushing(nos/d),602.0
2017-12,BSP,Oven Pushing(nos/d),605.0
2018-01,BSP,Oven Pushing(nos/d),622.0
2018-02,BSP,Oven Pushing(nos/d),698.0
2018-03,BSP,Oven Pushing(nos/d),677.0
2016-04,BSP,Oven Pushing(nos/d),766.0
2016-05,BSP,Oven Pushing(nos/d),680.0
2016-06,BSP,Oven Pushing(nos/d),721.0
2016-07,BSP,Oven Pushing(nos/d),715.0
2016-08,BSP,Oven Pushing(nos/d),713.0
