report_month,plant_name,item_name,month_actual
April 2025-26,BSP,Oven Pushing(nos/d),709.0
May 2025-26,BSP,Oven Pushing(nos/d),747.0
June 2025-26,BSP,Oven Pushing(nos/d),763.0
July 2025-26,BSP,Oven Pushing(nos/d),702.0
August 2025-26,BSP,Oven Pushing(nos/d),731.0
September 2025-26,BSP,Oven Pushing(nos/d),742.0
October 2025-26,BSP,Oven Pushing(nos/d),753.0
November 2025-26,BSP,Oven Pushing(nos/d),762.0
December 2025-26,BSP,Oven Pushing(nos/d),773.0
January 2025-26,BSP,Oven Pushing(nos/d),775.0
February 2025-26,BSP,Oven Pushing(nos/d),798.0
March 2025-26,BSP,Oven Pushing(nos/d),804.0
April 2024-25,BSP,Oven Pushing(nos/d),829.0
May 2024-25,BSP,Oven Pushing(nos/d),812.0
June 2024-25,BSP,Oven Pushing(nos/d),723.0
July 2024-25,BSP,Oven Pushing(nos/d),705.0
August 2024-25,BSP,Oven Pushing(nos/d),748.0
September 2024-25,BSP,Oven Pushing(nos/d),715.0
October 2024-25,BSP,Oven Pushing(nos/d),708.0
November 2024-25,BSP,Oven Pushing(nos/d),750.0
December 2024-25,BSP,Oven Pushing(nos/d),814.0
January 2024-25,BSP,Oven Pushing(nos/d),747.0
February 2024-25,BSP,Oven Pushing(nos/d),718.0
March 2024-25,BSP,Oven Pushing(nos/d),752.0
April 2023-24,BSP,Oven Pushing(nos/d),801.0
May 2023-24,BSP,Oven Pushing(nos/d),806.0
June 2023-24,BSP,Oven Pushing(nos/d),794.0
July 2023-24,BSP,Oven Pushing(nos/d),793.0
August 2023-24,BSP,Oven Pushing(nos/d),813.0
September 2023-24,BSP,Oven Pushing(nos/d),803.0
October 2023-24,BSP,Oven Pushing(nos/d),807.0
November 2023-24,BSP,Oven Pushing(nos/d),632.0
December 2023-24,BSP,Oven Pushing(nos/d),717.0
January 2023-24,BSP,Oven Pushing(nos/d),810.0
February 2023-24,BSP,Oven Pushing(nos/d),813.0
March 2023-24,BSP,Oven Pushing(nos/d),816.0
April 2022-23,BSP,Oven Pushing(nos/d),737.0
May 2022-23,BSP,Oven Pushing(nos/d),682.0
June 2022-23,BSP,Oven Pushing(nos/d),645.0
July 2022-23,BSP,Oven Pushing(nos/d),614.0
August 2022-23,BSP,Oven Pushing(nos/d),619.0
September 2022-23,BSP,Oven Pushing(nos/d),630.0
October 2022-23,BSP,Oven Pushing(nos/d),690.0
November 2022-23,BSP,Oven Pushing(nos/d),776.0
December 2022-23,BSP,Oven Pushing(nos/d),700.0
January 2022-23,BSP,Oven Pushing(nos/d),806.0
February 2022-23,BSP,Oven Pushing(nos/d),814.0
March 2022-23,BSP,Oven Pushing(nos/d),806.0
April 2021-22,BSP,Oven Pushing(nos/d),708.0
May 2021-22,BSP,Oven Pushing(nos/d),654.0
June 2021-22,BSP,Oven Pushing(nos/d),722.0
July 2021-22,BSP,Oven Pushing(nos/d),713.0
August 2021-22,BSP,Oven Pushing(nos/d),749.0
September 2021-22,BSP,Oven Pushing(nos/d),705.0
October 2021-22,BSP,Oven Pushing(nos/d),702.0
November 2021-22,BSP,Oven Pushing(nos/d),694.0
December 2021-22,BSP,Oven Pushing(nos/d),706.0
January 2021-22,BSP,Oven Pushing(nos/d),713.0
February 2021-22,BSP,Oven Pushing(nos/d),741.0
March 2021-22,BSP,Oven Pushing(nos/d),750.0
April 2020-21,BSP,Oven Pushing(nos/d),448.0
May 2020-21,BSP,Oven Pushing(nos/d),448.0
June 2020-21,BSP,Oven Pushing(nos/d),448.0
July 2020-21,BSP,Oven Pushing(nos/d),513.0
August 2020-21,BSP,Oven Pushing(nos/d),568.0
September 2020-21,BSP,Oven Pushing(nos/d),628.0
October 2020-21,BSP,Oven Pushing(nos/d),686.0
November 2020-21,BSP,Oven Pushing(nos/d),713.0
December 2020-21,BSP,Oven Pushing(nos/d),740.0
January 2020-21,BSP,Oven Pushing(nos/d),772.0
February 2020-21,BSP,Oven Pushing(nos/d),779.0
March 2020-21,BSP,Oven Pushing(nos/d),785.0
April 2019-20,BSP,Oven Pushing(nos/d),702.0
May 2019-20,BSP,Oven Pushing(nos/d),681.0
June 2019-20,BSP,Oven Pushing(nos/d),653.0
July 2019-20,BSP,Oven Pushing(nos/d),658.0
August 2019-20,BSP,Oven Pushing(nos/d),655.0
September 2019-20,BSP,Oven Pushing(nos/d),626.0
October 2019-20,BSP,Oven Pushing(nos/d),613.0
November 2019-20,BSP,Oven Pushing(nos/d),609.0
December 2019-20,BSP,Oven Pushing(nos/d),606.0
January 2019-20,BSP,Oven Pushing(nos/d),612.0
February 2019-20,BSP,Oven Pushing(nos/d),652.0
March 2019-20,BSP,Oven Pushing(nos/d),655.0
April 2018-19,BSP,Oven Pushing(nos/d),672.0
May 2018-19,BSP,Oven Pushing(nos/d),659.0
June 2018-19,BSP,Oven Pushing(nos/d),656.0
