report_month,plant_name,parameter_name,unit,month_actual,ytd_actual
2024-10,BSL,BF Coke Yield,%,70.542,70.542
2025-03,BSL,BF Coke Yield,%,68.457,69.499
2025-04,BSL,BF Coke Yield,%,70.195,70.195
2025-05,BSL,BF Coke Yield,%,68.805,69.5
2026-04,BSL,BF Coke Yield,%,69.5,69.5
2026-05,BSL,BF Coke Yield,%,69.847,69.673
2023-03,BSL,BF Productivity,T/m³/day,,1.72
2024-03,BSL,BF Productivity,T/m³/day,,1.72
2024-10,BSL,BF Productivity,T/m³/day,1.949,1.949
2025-03,BSL,BF Productivity,T/m³/day,1.891,1.92
2025-04,BSL,BF Productivity,T/m³/day,1.939,1.939
2025-05,BSL,BF Productivity,T/m³/day,1.901,1.92
2025-06,BSL,BF Productivity,T/m³/day,1.8982,
2025-07,BSL,BF Productivity,T/m³/day,1.7812,
2025-08,BSL,BF Productivity,T/m³/day,1.8514,
2025-09,BSL,BF Productivity,T/m³/day,1.8845,
2025-10,BSL,BF Productivity,T/m³/day,1.8336,
2025-11,BSL,BF Productivity,T/m³/day,1.902,
2026-03,BSL,BF Productivity,T/m³/day,2.1642,
2026-04,BSL,BF Productivity,T/m³/day,1.92,1.92
2026-05,BSL,BF Productivity,T/m³/day,1.93,1.925
2024-10,BSL,CDI Rate,Kg/THM,106.575,106.575
2025-03,BSL,CDI Rate,Kg/THM,103.425,105.0
2025-04,BSL,CDI Rate,Kg/THM,106.05,106.05
2025-05,BSL,CDI Rate,Kg/THM,103.95,105.0
2025-06,BSL,CDI Rate,Kg/THM,90.5,
2025-07,BSL,CDI Rate,Kg/THM,80.5,
2025-08,BSL,CDI Rate,Kg/THM,72.75,
2025-09,BSL,CDI Rate,Kg/THM,88.75,
2025-10,BSL,CDI Rate,Kg/THM,87.25,
2025-11,BSL,CDI Rate,Kg/THM,74.0,
2026-03,BSL,CDI Rate,Kg/THM,94.0,
2026-04,BSL,CDI Rate,Kg/THM,105.0,105.0
2026-05,BSL,CDI Rate,Kg/THM,95.2816,90.3514
2024-10,BSL,Coal Tar Yield,Kg/TDC,32.683,32.683
2025-03,BSL,Coal Tar Yield,Kg/TDC,31.717,32.2
2025-04,BSL,Coal Tar Yield,Kg/TDC,32.522,32.522
2025-05,BSL,Coal Tar Yield,Kg/TDC,31.878,32.2
2026-04,BSL,Coal Tar Yield,Kg/TDC,32.2,32.2
2026-05,BSL,Coal Tar Yield,Kg/TDC,32.361,32.281
2024-10,BSL,Coal to Hot Metal,,0.924,0.924
2025-03,BSL,Coal to Hot Metal,,0.896,0.91
2025-04,BSL,Coal to Hot Metal,,0.919,0.919
2025-05,BSL,Coal to Hot Metal,,0.901,0.91
2026-04,BSL,Coal to Hot Metal,,0.91,0.91
2026-05,BSL,Coal to Hot Metal,,0.915,0.913
2023-03,BSL,Coke Rate,Kg/THM,486.0,487.0
2024-10,BSL,Coke Rate,Kg/THM,456.75,456.75
2025-03,BSL,Coke Rate,Kg/THM,443.25,450.0
2025-04,BSL,Coke Rate,Kg/THM,454.5,454.5
2025-05,BSL,Coke Rate,Kg/THM,445.5,450.0
2025-06,BSL,Coke Rate,Kg/THM,453.75,
2025-07,BSL,Coke Rate,Kg/THM,464.5,
2025-08,BSL,Coke Rate,Kg/THM,467.0,
2025-09,BSL,Coke Rate,Kg/THM,450.75,
2025-10,BSL,Coke Rate,Kg/THM,459.25,
2025-11,BSL,Coke Rate,Kg/THM,454.75,
2026-03,BSL,Coke Rate,Kg/THM,425.75,
2026-04,BSL,Coke Rate,Kg/THM,450.0,450.0
2026-05,BSL,Coke Rate,Kg/THM,452.25,451.125
2023-03,BSL,Fuel Rate,Kg/THM,,559.0
2024-03,BSL,Fuel Rate,Kg/THM,,560.0
2024-10,BSL,Fuel Rate,Kg/THM,562.31,562.31
2025-03,BSL,Fuel Rate,Kg/THM,545.69,554.0
2025-04,BSL,Fuel Rate,Kg/THM,559.54,559.54
2025-05,BSL,Fuel Rate,Kg/THM,548.46,554.0
2025-06,BSL,Fuel Rate,Kg/THM,560.75,
2025-07,BSL,Fuel Rate,Kg/THM,562.5,
2025-08,BSL,Fuel Rate,Kg/THM,555.75,
