report_month,plant_name,parameter_name,unit,month_actual,ytd_actual
2025-04,ISP,BF Coke Rate,Kg/THM,347.9695,347.9695
2025-05,ISP,BF Coke Rate,Kg/THM,345.9701,346.9084
2026-04,ISP,BF Coke Rate,Kg/THM,383.5717,383.5717
2026-05,ISP,BF Coke Rate,Kg/THM,415.3147,393.6731
2026-04,ISP,BF Coke Screen Loss,%,9.5096,9.5096
2026-05,ISP,BF Coke Screen Loss,%,10.5193,9.8727
2025-04,ISP,BF Hot Blast Temp,°C,1169.6367,1169.6367
2025-05,ISP,BF Hot Blast Temp,°C,1185.0595,1177.4745
2026-04,ISP,BF Hot Blast Temp,°C,1148.1277,1148.1277
2026-05,ISP,BF Hot Blast Temp,°C,1120.0555,1133.8615
2025-04,ISP,BF Nut Coke Rate,Kg/THM,25.2742,25.2742
2025-05,ISP,BF Nut Coke Rate,Kg/THM,26.1988,25.7649
2026-04,ISP,BF Nut Coke Rate,Kg/THM,31.725,31.725
2026-05,ISP,BF Nut Coke Rate,Kg/THM,33.4692,32.2801
2025-04,ISP,BF O2 Enrichment,%,4.1895,4.1895
2025-05,ISP,BF O2 Enrichment,%,4.5062,4.3478
2026-04,ISP,BF O2 Enrichment,%,4.2873,4.2873
2026-05,ISP,BF O2 Enrichment,%,3.3433,3.8153
2025-04,ISP,BF PCI Rate,Kg/THM,150.9002,150.9002
2025-05,ISP,BF PCI Rate,Kg/THM,155.9321,153.5707
2026-04,ISP,BF PCI Rate,Kg/THM,125.1261,125.1261
2026-05,ISP,BF PCI Rate,Kg/THM,93.1498,114.9505
2025-04,ISP,BF Pellet% in Burden,%,17.9836,17.9836
2025-05,ISP,BF Pellet% in Burden,%,16.0337,16.9501
2026-04,ISP,BF Pellet% in Burden,%,15.2171,15.2171
2026-05,ISP,BF Pellet% in Burden,%,17.6548,16.0045
2025-04,ISP,BF Productivity,T/M3/Day,2.388,2.388
2025-05,ISP,BF Productivity,T/M3/Day,2.4173,2.4035
2026-04,ISP,BF Productivity,T/M3/Day,2.2602,2.2602
2026-05,ISP,BF Productivity,T/M3/Day,1.8271,2.1017
2025-04,ISP,BF S in HM,%,0.0414,0.0414
2025-05,ISP,BF S in HM,%,0.0423,0.0419
2026-04,ISP,BF S in HM,%,0.0326,0.0326
2026-05,ISP,BF S in HM,%,0.0349,0.0333
2025-04,ISP,BF Si in HM,%,0.6766,0.6766
2025-05,ISP,BF Si in HM,%,0.6605,0.668
2026-04,ISP,BF Si in HM,%,0.6569,0.6569
2026-05,ISP,BF Si in HM,%,0.8739,0.726
2025-04,ISP,BF Sinter% in Burden,%,67.7281,67.7281
2025-05,ISP,BF Sinter% in Burden,%,68.7153,68.2514
2026-04,ISP,BF Sinter% in Burden,%,71.4889,71.4889
2026-05,ISP,BF Sinter% in Burden,%,68.9846,70.68
2025-04,ISP,BF Slag Rate,Kg/T,363.9255,363.9255
2025-05,ISP,BF Slag Rate,Kg/T,345.617,354.2088
2026-04,ISP,BF Slag Rate,Kg/T,326.936,326.936
